Version,1
Sampling cycle,1000us
Out count,1
Data count,23821
First index,885114

,OUT01
Display unit,0.0001mm
Upper limit,5.0000mm
Lower limit,-5.0000mm

Trigger count,OUT01(mm),
885114,-2.9189,GO
885115,-2.9189,GO
885116,-2.9194,GO
885117,-2.9194,GO
885118,-2.9197,GO
885119,-2.9197,GO
885120,-2.9197,GO
885121,-2.9202,GO
885122,-2.9204,GO
885123,-2.9202,GO
885124,-2.9204,GO
885125,-2.9204,GO
885126,-2.9204,GO
885127,-2.9204,GO
885128,-2.9207,GO
885129,-2.9207,GO
885130,-2.9204,GO
885131,-2.9204,GO
885132,-2.9204,GO
885133,-2.9204,GO
885134,-2.9204,GO
885135,-2.9202,GO
885136,-2.9202,GO
885137,-2.9202,GO
885138,-2.9202,GO
885139,-2.9199,GO
885140,-2.9199,GO
885141,-2.9194,GO
885142,-2.9194,GO
885143,-2.9194,GO
885144,-2.9194,GO
885145,-2.9194,GO
885146,-2.9192,GO
885147,-2.9189,GO
885148,-2.9187,GO
885149,-2.9184,GO
885150,-2.9181,GO
885151,-2.9179,GO
885152,-2.9179,GO
885153,-2.9176,GO
885154,-2.9171,GO
885155,-2.9169,GO
885156,-2.9166,GO
885157,-2.9161,GO
885158,-2.9161,GO
885159,-2.9158,GO
885160,-2.9156,GO
885161,-2.9153,GO
885162,-2.9153,GO
885163,-2.9153,GO
885164,-2.9151,GO
885165,-2.9153,GO
885166,-2.9153,GO
885167,-2.9153,GO
885168,-2.9151,GO
885169,-2.9148,GO
885170,-2.9148,GO
885171,-2.9148,GO
885172,-2.9148,GO
885173,-2.9148,GO
885174,-2.9153,GO
885175,-2.9153,GO
885176,-2.9151,GO
885177,-2.9151,GO
885178,-2.9148,GO
885179,-2.9151,GO
885180,-2.9151,GO
885181,-2.9153,GO
885182,-2.9153,GO
885183,-2.9156,GO
885184,-2.9158,GO
885185,-2.9158,GO
885186,-2.9158,GO
885187,-2.9164,GO
885188,-2.9164,GO
885189,-2.9164,GO
885190,-2.9166,GO
885191,-2.9166,GO
885192,-2.9166,GO
885193,-2.9164,GO
885194,-2.9166,GO
885195,-2.9169,GO
885196,-2.9171,GO
885197,-2.9171,GO
885198,-2.9171,GO
885199,-2.9174,GO
885200,-2.9174,GO
885201,-2.9174,GO
885202,-2.9176,GO
885203,-2.9176,GO
885204,-2.9176,GO
885205,-2.9179,GO
885206,-2.9179,GO
885207,-2.9176,GO
885208,-2.9176,GO
885209,-2.9174,GO
885210,-2.9174,GO
885211,-2.9176,GO
885212,-2.9179,GO
885213,-2.9179,GO
885214,-2.9179,GO
885215,-2.9181,GO
885216,-2.9179,GO
885217,-2.9179,GO
885218,-2.9181,GO
885219,-2.9181,GO
885220,-2.9181,GO
885221,-2.9184,GO
885222,-2.9184,GO
885223,-2.9184,GO
885224,-2.9181,GO
885225,-2.9184,GO
885226,-2.9184,GO
885227,-2.9181,GO
885228,-2.9181,GO
885229,-2.9179,GO
885230,-2.9181,GO
885231,-2.9181,GO
885232,-2.9184,GO
885233,-2.9181,GO
885234,-2.9181,GO
885235,-2.9184,GO
885236,-2.9184,GO
885237,-2.9184,GO
885238,-2.9179,GO
885239,-2.9179,GO
885240,-2.9181,GO
885241,-2.9181,GO
885242,-2.9184,GO
885243,-2.9187,GO
885244,-2.9187,GO
885245,-2.9189,GO
885246,-2.9189,GO
885247,-2.9192,GO
885248,-2.9192,GO
885249,-2.9194,GO
885250,-2.9199,GO
885251,-2.9194,GO
885252,-2.9197,GO
885253,-2.9199,GO
885254,-2.9202,GO
885255,-2.9204,GO
885256,-2.9210,GO
885257,-2.9212,GO
885258,-2.9210,GO
885259,-2.9212,GO
885260,-2.9212,GO
885261,-2.9217,GO
885262,-2.9217,GO
885263,-2.9217,GO
885264,-2.9220,GO
885265,-2.9220,GO
885266,-2.9222,GO
885267,-2.9225,GO
885268,-2.9225,GO
885269,-2.9225,GO
885270,-2.9225,GO
885271,-2.9228,GO
885272,-2.9230,GO
885273,-2.9233,GO
885274,-2.9233,GO
885275,-2.9235,GO
885276,-2.9235,GO
885277,-2.9235,GO
885278,-2.9238,GO
885279,-2.9238,GO
885280,-2.9240,GO
885281,-2.9240,GO
885282,-2.9240,GO
885283,-2.9240,GO
885284,-2.9240,GO
885285,-2.9240,GO
885286,-2.9238,GO
885287,-2.9238,GO
885288,-2.9238,GO
885289,-2.9235,GO
885290,-2.9233,GO
885291,-2.9235,GO
885292,-2.9233,GO
885293,-2.9230,GO
885294,-2.9228,GO
885295,-2.9225,GO
885296,-2.9222,GO
885297,-2.9222,GO
885298,-2.9220,GO
885299,-2.9217,GO
885300,-2.9212,GO
885301,-2.9210,GO
885302,-2.9207,GO
885303,-2.9207,GO
885304,-2.9204,GO
885305,-2.9199,GO
885306,-2.9194,GO
885307,-2.9189,GO
885308,-2.9184,GO
885309,-2.9181,GO
885310,-2.9179,GO
885311,-2.9171,GO
885312,-2.9169,GO
885313,-2.9164,GO
885314,-2.9161,GO
885315,-2.9158,GO
885316,-2.9156,GO
885317,-2.9153,GO
885318,-2.9151,GO
885319,-2.9146,GO
885320,-2.9138,GO
885321,-2.9135,GO
885322,-2.9135,GO
885323,-2.9133,GO
885324,-2.9130,GO
885325,-2.9128,GO
885326,-2.9125,GO
885327,-2.9123,GO
885328,-2.9123,GO
885329,-2.9120,GO
885330,-2.9120,GO
885331,-2.9120,GO
885332,-2.9120,GO
885333,-2.9117,GO
885334,-2.9117,GO
885335,-2.9115,GO
885336,-2.9115,GO
885337,-2.9115,GO
885338,-2.9115,GO
885339,-2.9115,GO
885340,-2.9115,GO
885341,-2.9115,GO
885342,-2.9115,GO
885343,-2.9112,GO
885344,-2.9112,GO
885345,-2.9115,GO
885346,-2.9115,GO
885347,-2.9115,GO
885348,-2.9120,GO
885349,-2.9120,GO
885350,-2.9125,GO
885351,-2.9125,GO
885352,-2.9128,GO
885353,-2.9128,GO
885354,-2.9128,GO
885355,-2.9128,GO
885356,-2.9130,GO
885357,-2.9133,GO
885358,-2.9135,GO
885359,-2.9138,GO
885360,-2.9138,GO
885361,-2.9140,GO
885362,-2.9138,GO
885363,-2.9140,GO
885364,-2.9140,GO
885365,-2.9140,GO
885366,-2.9140,GO
885367,-2.9140,GO
885368,-2.9140,GO
885369,-2.9140,GO
885370,-2.9140,GO
885371,-2.9140,GO
885372,-2.9140,GO
885373,-2.9140,GO
885374,-2.9140,GO
885375,-2.9140,GO
885376,-2.9140,GO
885377,-2.9143,GO
885378,-2.9146,GO
885379,-2.9146,GO
885380,-2.9148,GO
885381,-2.9146,GO
885382,-2.9148,GO
885383,-2.9148,GO
885384,-2.9151,GO
885385,-2.9153,GO
885386,-2.9158,GO
885387,-2.9161,GO
885388,-2.9164,GO
885389,-2.9164,GO
885390,-2.9166,GO
885391,-2.9169,GO
885392,-2.9166,GO
885393,-2.9169,GO
885394,-2.9171,GO
885395,-2.9171,GO
885396,-2.9171,GO
885397,-2.9174,GO
885398,-2.9176,GO
885399,-2.9181,GO
885400,-2.9184,GO
885401,-2.9187,GO
885402,-2.9187,GO
885403,-2.9189,GO
885404,-2.9192,GO
885405,-2.9194,GO
885406,-2.9194,GO
885407,-2.9197,GO
885408,-2.9199,GO
885409,-2.9199,GO
885410,-2.9199,GO
885411,-2.9199,GO
885412,-2.9197,GO
885413,-2.9197,GO
885414,-2.9194,GO
885415,-2.9197,GO
885416,-2.9197,GO
885417,-2.9197,GO
885418,-2.9194,GO
885419,-2.9194,GO
885420,-2.9197,GO
885421,-2.9192,GO
885422,-2.9189,GO
885423,-2.9189,GO
885424,-2.9187,GO
885425,-2.9184,GO
885426,-2.9184,GO
885427,-2.9181,GO
885428,-2.9179,GO
885429,-2.9176,GO
885430,-2.9176,GO
885431,-2.9174,GO
885432,-2.9174,GO
885433,-2.9174,GO
885434,-2.9174,GO
885435,-2.9171,GO
885436,-2.9169,GO
885437,-2.9169,GO
885438,-2.9169,GO
885439,-2.9169,GO
885440,-2.9169,GO
885441,-2.9166,GO
885442,-2.9164,GO
885443,-2.9166,GO
885444,-2.9164,GO
885445,-2.9164,GO
885446,-2.9164,GO
885447,-2.9164,GO
885448,-2.9164,GO
885449,-2.9164,GO
885450,-2.9161,GO
885451,-2.9164,GO
885452,-2.9161,GO
885453,-2.9161,GO
885454,-2.9164,GO
885455,-2.9166,GO
885456,-2.9169,GO
885457,-2.9166,GO
885458,-2.9169,GO
885459,-2.9169,GO
885460,-2.9166,GO
885461,-2.9166,GO
885462,-2.9166,GO
885463,-2.9166,GO
885464,-2.9164,GO
885465,-2.9164,GO
885466,-2.9166,GO
885467,-2.9164,GO
885468,-2.9164,GO
885469,-2.9164,GO
885470,-2.9164,GO
885471,-2.9161,GO
885472,-2.9161,GO
885473,-2.9161,GO
885474,-2.9164,GO
885475,-2.9161,GO
885476,-2.9161,GO
885477,-2.9161,GO
885478,-2.9164,GO
885479,-2.9161,GO
885480,-2.9164,GO
885481,-2.9164,GO
885482,-2.9164,GO
885483,-2.9164,GO
885484,-2.9161,GO
885485,-2.9164,GO
885486,-2.9164,GO
885487,-2.9164,GO
885488,-2.9166,GO
885489,-2.9166,GO
885490,-2.9166,GO
885491,-2.9166,GO
885492,-2.9169,GO
885493,-2.9166,GO
885494,-2.9166,GO
885495,-2.9169,GO
885496,-2.9166,GO
885497,-2.9166,GO
885498,-2.9166,GO
885499,-2.9169,GO
885500,-2.9171,GO
885501,-2.9171,GO
885502,-2.9174,GO
885503,-2.9171,GO
885504,-2.9171,GO
885505,-2.9171,GO
885506,-2.9174,GO
885507,-2.9171,GO
885508,-2.9174,GO
885509,-2.9174,GO
885510,-2.9171,GO
885511,-2.9169,GO
885512,-2.9169,GO
885513,-2.9169,GO
885514,-2.9169,GO
885515,-2.9164,GO
885516,-2.9164,GO
885517,-2.9164,GO
885518,-2.9161,GO
885519,-2.9158,GO
