Version,1
Sampling cycle,1000us
Out count,1
Data count,6169
First index,11684

,OUT01
Display unit,0.0001mm
Upper limit,5.0000mm
Lower limit,-5.0000mm

Trigger count,OUT01(mm),
11684,-2.0728,GO
11685,-2.0728,GO
11686,-2.0731,GO
11687,-2.0733,GO
11688,-2.0733,GO
11689,-2.0736,GO
11690,-2.0739,GO
11691,-2.0741,GO
11692,-2.0741,GO
11693,-2.0744,GO
11694,-2.0744,GO
11695,-2.0744,GO
11696,-2.0744,GO
11697,-2.0744,GO
11698,-2.0744,GO
11699,-2.0744,GO
11700,-2.0744,GO
11701,-2.0744,GO
11702,-2.0744,GO
11703,-2.0744,GO
11704,-2.0744,GO
11705,-2.0744,GO
11706,-2.0741,GO
11707,-2.0741,GO
11708,-2.0741,GO
11709,-2.0739,GO
11710,-2.0739,GO
11711,-2.0736,GO
11712,-2.0731,GO
11713,-2.0728,GO
11714,-2.0726,GO
11715,-2.0723,GO
11716,-2.0721,GO
11717,-2.0716,GO
11718,-2.0713,GO
11719,-2.0710,GO
11720,-2.0708,GO
11721,-2.0705,GO
11722,-2.0703,GO
11723,-2.0700,GO
11724,-2.0695,GO
11725,-2.0692,GO
11726,-2.0690,GO
11727,-2.0687,GO
11728,-2.0685,GO
11729,-2.0680,GO
11730,-2.0677,GO
11731,-2.0677,GO
11732,-2.0675,GO
11733,-2.0672,GO
11734,-2.0672,GO
11735,-2.0672,GO
11736,-2.0669,GO
11737,-2.0669,GO
11738,-2.0669,GO
11739,-2.0667,GO
11740,-2.0667,GO
11741,-2.0667,GO
11742,-2.0667,GO
11743,-2.0669,GO
11744,-2.0669,GO
11745,-2.0669,GO
11746,-2.0667,GO
11747,-2.0669,GO
11748,-2.0669,GO
11749,-2.0672,GO
11750,-2.0672,GO
11751,-2.0675,GO
11752,-2.0675,GO
11753,-2.0675,GO
11754,-2.0677,GO
11755,-2.0677,GO
11756,-2.0680,GO
11757,-2.0682,GO
11758,-2.0685,GO
11759,-2.0687,GO
11760,-2.0687,GO
11761,-2.0690,GO
11762,-2.0692,GO
11763,-2.0692,GO
11764,-2.0695,GO
11765,-2.0698,GO
11766,-2.0700,GO
11767,-2.0703,GO
11768,-2.0703,GO
11769,-2.0705,GO
11770,-2.0708,GO
11771,-2.0710,GO
11772,-2.0713,GO
11773,-2.0713,GO
11774,-2.0716,GO
11775,-2.0716,GO
11776,-2.0718,GO
11777,-2.0718,GO
11778,-2.0718,GO
11779,-2.0721,GO
11780,-2.0723,GO
11781,-2.0723,GO
11782,-2.0726,GO
11783,-2.0728,GO
11784,-2.0728,GO
11785,-2.0731,GO
11786,-2.0731,GO
11787,-2.0731,GO
11788,-2.0731,GO
11789,-2.0728,GO
11790,-2.0728,GO
11791,-2.0726,GO
11792,-2.0726,GO
11793,-2.0728,GO
11794,-2.0728,GO
11795,-2.0728,GO
11796,-2.0731,GO
11797,-2.0728,GO
11798,-2.0728,GO
11799,-2.0728,GO
11800,-2.0728,GO
11801,-2.0728,GO
11802,-2.0728,GO
11803,-2.0728,GO
11804,-2.0728,GO
11805,-2.0728,GO
11806,-2.0731,GO
11807,-2.0731,GO
11808,-2.0733,GO
11809,-2.0733,GO
11810,-2.0733,GO
11811,-2.0733,GO
11812,-2.0733,GO
11813,-2.0736,GO
11814,-2.0736,GO
11815,-2.0736,GO
11816,-2.0736,GO
11817,-2.0739,GO
11818,-2.0739,GO
11819,-2.0741,GO
11820,-2.0741,GO
11821,-2.0741,GO
11822,-2.0741,GO
11823,-2.0741,GO
11824,-2.0741,GO
11825,-2.0741,GO
11826,-2.0741,GO
11827,-2.0739,GO
11828,-2.0739,GO
11829,-2.0739,GO
11830,-2.0741,GO
11831,-2.0739,GO
11832,-2.0736,GO
11833,-2.0733,GO
11834,-2.0731,GO
11835,-2.0728,GO
11836,-2.0726,GO
11837,-2.0723,GO
11838,-2.0721,GO
11839,-2.0718,GO
11840,-2.0713,GO
11841,-2.0710,GO
11842,-2.0708,GO
11843,-2.0705,GO
11844,-2.0703,GO
11845,-2.0700,GO
11846,-2.0698,GO
11847,-2.0695,GO
11848,-2.0692,GO
11849,-2.0692,GO
11850,-2.0690,GO
11851,-2.0687,GO
11852,-2.0685,GO
11853,-2.0682,GO
11854,-2.0682,GO
11855,-2.0680,GO
11856,-2.0677,GO
11857,-2.0675,GO
11858,-2.0672,GO
11859,-2.0669,GO
11860,-2.0669,GO
11861,-2.0667,GO
11862,-2.0667,GO
11863,-2.0667,GO
11864,-2.0664,GO
11865,-2.0664,GO
11866,-2.0662,GO
11867,-2.0659,GO
11868,-2.0659,GO
11869,-2.0657,GO
11870,-2.0654,GO
11871,-2.0654,GO
11872,-2.0652,GO
11873,-2.0652,GO
11874,-2.0649,GO
11875,-2.0652,GO
11876,-2.0649,GO
11877,-2.0649,GO
11878,-2.0649,GO
11879,-2.0649,GO
11880,-2.0649,GO
11881,-2.0649,GO
11882,-2.0652,GO
11883,-2.0652,GO
11884,-2.0652,GO
11885,-2.0652,GO
11886,-2.0652,GO
11887,-2.0652,GO
11888,-2.0654,GO
11889,-2.0654,GO
11890,-2.0657,GO
