Version,1
Sampling cycle,1000us
Out count,1
Data count,3402
First index,256367

,OUT01
Display unit,0.0001mm
Upper limit,5.0000mm
Lower limit,-5.0000mm

Trigger count,OUT01(mm),
256367,-1.8189,GO
256368,-1.8194,GO
256369,-1.8196,GO
256370,-1.8196,GO
256371,-1.8199,GO
256372,-1.8196,GO
256373,-1.8199,GO
256374,-1.8202,GO
256375,-1.8202,GO
256376,-1.8204,GO
256377,-1.8204,GO
256378,-1.8204,GO
256379,-1.8204,GO
256380,-1.8202,GO
256381,-1.8202,GO
256382,-1.8202,GO
256383,-1.8199,GO
256384,-1.8202,GO
256385,-1.8199,GO
256386,-1.8196,GO
256387,-1.8199,GO
256388,-1.8194,GO
256389,-1.8194,GO
256390,-1.8189,GO
256391,-1.8186,GO
256392,-1.8184,GO
256393,-1.8181,GO
256394,-1.8179,GO
256395,-1.8176,GO
256396,-1.8173,GO
256397,-1.8171,GO
256398,-1.8168,GO
256399,-1.8163,GO
256400,-1.8158,GO
256401,-1.8156,GO
256402,-1.8153,GO
256403,-1.8153,GO
256404,-1.8150,GO
256405,-1.8150,GO
256406,-1.8150,GO
256407,-1.8148,GO
256408,-1.8148,GO
256409,-1.8148,GO
256410,-1.8145,GO
256411,-1.8145,GO
256412,-1.8145,GO
256413,-1.8145,GO
256414,-1.8145,GO
256415,-1.8145,GO
256416,-1.8145,GO
256417,-1.8145,GO
256418,-1.8148,GO
256419,-1.8148,GO
256420,-1.8150,GO
256421,-1.8153,GO
256422,-1.8156,GO
256423,-1.8158,GO
256424,-1.8161,GO
256425,-1.8161,GO
256426,-1.8163,GO
256427,-1.8168,GO
256428,-1.8173,GO
256429,-1.8176,GO
256430,-1.8179,GO
256431,-1.8181,GO
256432,-1.8184,GO
256433,-1.8189,GO
256434,-1.8191,GO
256435,-1.8191,GO
256436,-1.8194,GO
256437,-1.8196,GO
256438,-1.8196,GO
256439,-1.8199,GO
256440,-1.8202,GO
256441,-1.8204,GO
256442,-1.8207,GO
256443,-1.8207,GO
256444,-1.8209,GO
256445,-1.8207,GO
256446,-1.8207,GO
256447,-1.8204,GO
256448,-1.8199,GO
256449,-1.8199,GO
256450,-1.8199,GO
256451,-1.8196,GO
256452,-1.8196,GO
256453,-1.8191,GO
256454,-1.8186,GO
256455,-1.8184,GO
256456,-1.8179,GO
256457,-1.8176,GO
256458,-1.8173,GO
256459,-1.8171,GO
256460,-1.8166,GO
256461,-1.8163,GO
256462,-1.8158,GO
256463,-1.8156,GO
256464,-1.8153,GO
256465,-1.8148,GO
256466,-1.8148,GO
256467,-1.8145,GO
256468,-1.8143,GO
256469,-1.8143,GO
256470,-1.8143,GO
256471,-1.8143,GO
256472,-1.8143,GO
256473,-1.8143,GO
256474,-1.8140,GO
256475,-1.8140,GO
256476,-1.8140,GO
256477,-1.8143,GO
256478,-1.8145,GO
256479,-1.8145,GO
256480,-1.8150,GO
256481,-1.8153,GO
256482,-1.8158,GO
256483,-1.8161,GO
256484,-1.8163,GO
256485,-1.8166,GO
256486,-1.8168,GO
256487,-1.8173,GO
256488,-1.8179,GO
256489,-1.8184,GO
256490,-1.8189,GO
256491,-1.8191,GO
256492,-1.8196,GO
256493,-1.8199,GO
256494,-1.8204,GO
256495,-1.8207,GO
256496,-1.8209,GO
256497,-1.8212,GO
256498,-1.8212,GO
256499,-1.8214,GO
256500,-1.8217,GO
256501,-1.8217,GO
256502,-1.8220,GO
256503,-1.8220,GO
256504,-1.8220,GO
256505,-1.8222,GO
256506,-1.8222,GO
256507,-1.8220,GO
256508,-1.8220,GO
256509,-1.8220,GO
256510,-1.8217,GO
256511,-1.8217,GO
256512,-1.8214,GO
256513,-1.8214,GO
256514,-1.8212,GO
256515,-1.8209,GO
256516,-1.8207,GO
256517,-1.8204,GO
256518,-1.8202,GO
256519,-1.8199,GO
256520,-1.8194,GO
256521,-1.8191,GO
256522,-1.8189,GO
256523,-1.8189,GO
256524,-1.8186,GO
256525,-1.8184,GO
256526,-1.8181,GO
256527,-1.8179,GO
256528,-1.8179,GO
256529,-1.8176,GO
256530,-1.8173,GO
256531,-1.8171,GO
256532,-1.8168,GO
256533,-1.8168,GO
256534,-1.8168,GO
256535,-1.8168,GO
256536,-1.8168,GO
256537,-1.8168,GO
256538,-1.8168,GO
256539,-1.8168,GO
256540,-1.8168,GO
256541,-1.8168,GO
256542,-1.8168,GO
256543,-1.8168,GO
256544,-1.8168,GO
256545,-1.8168,GO
256546,-1.8168,GO
256547,-1.8168,GO
256548,-1.8171,GO
256549,-1.8171,GO
256550,-1.8171,GO
256551,-1.8171,GO
256552,-1.8171,GO
256553,-1.8173,GO
256554,-1.8173,GO
256555,-1.8176,GO
256556,-1.8176,GO
256557,-1.8176,GO
256558,-1.8179,GO
256559,-1.8179,GO
256560,-1.8179,GO
256561,-1.8176,GO
256562,-1.8176,GO
256563,-1.8176,GO
256564,-1.8176,GO
256565,-1.8176,GO
256566,-1.8176,GO
256567,-1.8176,GO
256568,-1.8176,GO
256569,-1.8176,GO
256570,-1.8176,GO
256571,-1.8176,GO
256572,-1.8176,GO
256573,-1.8173,GO
256574,-1.8173,GO
256575,-1.8173,GO
256576,-1.8171,GO
256577,-1.8168,GO
256578,-1.8168,GO
256579,-1.8168,GO
256580,-1.8166,GO
256581,-1.8168,GO
256582,-1.8166,GO
256583,-1.8163,GO
256584,-1.8163,GO
256585,-1.8161,GO
256586,-1.8161,GO
256587,-1.8158,GO
256588,-1.8161,GO
256589,-1.8161,GO
256590,-1.8158,GO
256591,-1.8161,GO
256592,-1.8158,GO
256593,-1.8161,GO
